frameIndex;frameTime;pcm_LOGenergy
74;8.140000;-4.293463e+00
75;8.250000;-5.180353e+00
76;8.360000;-4.327034e+00
77;8.470000;-6.567734e+00
78;8.580000;-5.379734e+00
79;8.690000;-6.358346e+00
80;8.800000;-6.180819e+00
81;8.910000;-6.306127e+00
82;9.020000;-4.403833e+00
83;9.130000;-5.325044e+00
84;9.240000;-7.047304e+00
85;9.350000;-7.596262e+00
86;9.460000;-5.188131e+00
87;9.570000;-5.078069e+00
88;9.680000;-4.654081e+00
89;9.790000;-5.800941e+00
90;9.900000;-6.342093e+00
91;10.010000;-5.737421e+00
92;10.120000;-5.833806e+00
93;10.230000;-6.547797e+00
94;10.340000;-5.991961e+00
95;10.450000;-5.384207e+00
96;10.560000;-6.253160e+00
97;10.670000;-5.400192e+00
98;10.780000;-5.172587e+00
99;10.890000;-5.344203e+00
100;11.000000;-6.968151e+00
101;11.110000;-5.978115e+00
102;11.220000;-5.709330e+00
103;11.330000;-4.202650e+00
104;11.440000;-4.662469e+00
105;11.550000;-4.589697e+00
106;11.660000;-4.717640e+00
107;11.770000;-5.467151e+00
108;11.880000;-4.522533e+00
109;11.990000;-3.433975e+00
110;12.100000;-3.247612e+00
111;12.210000;-3.740465e+00
112;12.320000;-3.119881e+00
113;12.430000;-3.620754e+00
114;12.540000;-3.931077e+00
115;12.650000;-3.352489e+00
116;12.760000;-3.693147e+00
117;12.870000;-4.034326e+00
118;12.980000;-3.012792e+00
119;13.090000;-3.068373e+00
120;13.200000;-2.744009e+00
121;13.310000;-4.297489e+00
122;13.420000;-4.015520e+00
123;13.530000;-4.083893e+00
124;13.640000;-4.826082e+00
125;13.750000;-4.780513e+00
126;13.860000;-4.473004e+00
127;13.970000;-4.263498e+00
128;14.080000;-5.815533e+00
129;14.190000;-5.362687e+00
130;14.300000;-4.472596e+00
131;14.410000;-4.744554e+00
132;14.520000;-4.670043e+00
133;14.630000;-5.665518e+00
134;14.740000;-4.536776e+00
135;14.850000;-3.318771e+00
136;14.960000;-3.202150e+00
137;15.070000;-3.067194e+00
138;15.180000;-3.449736e+00
139;15.290000;-3.960882e+00
140;15.400000;-4.660213e+00
141;15.510000;-5.623707e+00
142;15.620000;-4.082044e+00
143;15.730000;-3.758292e+00
144;15.840000;-3.713538e+00
145;15.950000;-3.388762e+00
146;16.060000;-3.613717e+00
147;16.170000;-3.863295e+00
148;16.280000;-4.503565e+00
149;16.390000;-4.854861e+00
150;16.500000;-4.308357e+00
151;16.610000;-3.473628e+00
152;16.720000;-3.882580e+00
153;16.830000;-3.804409e+00
154;16.940000;-4.368980e+00
155;17.050000;-4.301788e+00
156;17.160000;-4.604274e+00
157;17.270000;-5.227123e+00
158;17.380000;-5.118242e+00
159;17.490000;-5.031527e+00
160;17.600000;-5.083005e+00
161;17.710000;-5.894464e+00
162;17.820000;-6.250027e+00
163;17.930000;-7.024978e+00
164;18.040000;-6.712178e+00
165;18.150000;-5.822799e+00
166;18.260000;-5.952101e+00
167;18.370000;-6.517816e+00
168;18.480000;-5.031169e+00
169;18.590000;-4.949610e+00
170;18.700000;-5.188557e+00
171;18.810000;-5.231281e+00
172;18.920000;-4.488421e+00
173;19.030000;-3.627689e+00
174;19.140000;-7.248604e+00
175;19.250000;-6.737586e+00
176;19.360000;-7.423419e+00
177;19.470000;-4.705932e+00
178;19.580000;-4.584425e+00
179;19.690000;-4.747924e+00
180;19.800000;-4.723799e+00
181;19.910000;-3.729060e+00
182;20.020000;-3.460729e+00
183;20.130000;-6.476082e+00
184;20.240000;-5.563418e+00
185;20.350000;-5.787849e+00
186;20.460000;-4.819886e+00
187;20.570000;-3.919840e+00
188;20.680000;-3.736167e+00
189;20.790000;-3.892078e+00
190;20.900000;-3.426519e+00
191;21.010000;-4.044338e+00
192;21.120000;-5.969707e+00
193;21.230000;-5.268441e+00
194;21.340000;-4.993133e+00
195;21.450000;-4.834826e+00
196;21.560000;-4.388246e+00
197;21.670000;-4.330958e+00
